sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
264,Geruwa Rural Municipality,Construction of blacktop road and other structure work at ekpriya ma vi- bhairampur road,3704140.02,Works,NCB,In-Progress,W/GRM/NCB/03/2078-079
265,Badhaiyatal Rural Municipality,Construction Of Asphalt Concrete Road From Madan Chowk To Shiva Chowk,3217653.24,Works,NCB,Completed,BTRM/NCB/WORKS/C/05/2078/079
266,Kamal Rural Municipality,"Construction Of Siddhadevi School Building, Ward No 5",1145194.40,Works,Sealed Quotation,In-Progress,39/KRM/TOILET/2078/079
267,Badhaiyatal Rural Municipality,PROCUREMENT OF FABRICATED STEEL PARTS FOR THE SITAPUR-PURAINA SUSPENSION BRIDGE,2895069.04,Goods,NCB,In-Progress,BTRM/NCB/GOODS/06/2078/079
268,Geruwa Rural Municipality,Construction of blacktop road and other structure work at janaknagar towards kanpur chowk road,14413296.28,Works,NCB,In-Progress,W/GRM/NCB/01/2078-079
269,Kamal Rural Municipality,"Construction Of Toilet In Saraswati Ma Vi, Ward No. 7",1426290.84,Works,Sealed Quotation,In-Progress,40/KRM/TOILET/2078/079
270,Bijaynagar Rural Municipality,Mahadev-Dalpur-Nayabasti-Naurangiya-Jawavbairath kalopatre sadak (Phase II),3585064.68,Works,NCB,In-Progress,16/NCB/WORKS/BRM/2078-79
271,Badhaiyatal Rural Municipality,"Construction of Basic Health Service Center Building, Ward No 01",2949835.15,Works,NCB,In-Progress,BTRM/NCB/WORKS/C/12/075/076
272,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/23/2076-2077,140344609.10,Works,NCB,Completed,KRMP/KLB/NCB/23/2076-2077
273,Dumre-Besishahar-Chame Road Project,"Construction of RCC Slab Culvert in Lower Timang Khola along Besisahar Chame Road, Manang",1286597.98,Works,NCB,Completed,DBCRP/33701121/077/78-003(Re)
274,Badhaiyatal Rural Municipality,Construction Of Badhaiyatal rural Municipality Building,47509858.82,Works,NCB,In-Progress,BTRM/NCB/WORKS/C/03/2077/078
275,Bijaynagar Rural Municipality,Tripalnagar-Jawabairath Sadak Staronnati Tatha Kalopatre (Phase II),6478205.18,Works,NCB,In-Progress,17/NCB/WORKS/BRM/2078-79
276,Badhaiyatal Rural Municipality,Construction of Asphalt Road Between Saulibazar To Mayurbasti Road,4184413.95,Works,NCB,In-Progress,BTRM/NCB/WORKS/02/077/078
277,Dumre-Besishahar-Chame Road Project,"Construction of RCC Slab Culvert in Upper Timang Khola along Besisahar Chame Road, Manang",1964016.94,Works,NCB,Completed,DBCRP/33701121/077/78-004(Re)
278,Dumre-Besishahar-Chame Road Project,Roadside Slope Disaster Management of Kharkhare Landslide II at Ch 3+030 (Besisahar Chame Road),33743350.08,Works,NCB,In-Progress,DBCRP/33701121/078/79-15
279,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/MT-03/2077-2078,119660616.51,Works,NCB,In-Progress,KRMP/KLB/NCB/MT-03/2077-2078
280,Badhaiyatal Rural Municipality,Construction of Multipurpose Seminar Hall Badhaiyatal Rural Municipality Building,7026050.01,Works,NCB,In-Progress,BTRM/NCB/WORKS/01/077/078
281,Dumre-Besishahar-Chame Road Project,Road Upgrading Works on Turture Thatipokhari Road from Approach Road of Marsyangdi River Bridge to Turture,7618548.31,Works,NCB,In-Progress,DBCRP/33701121/078/79-16
282,"Rajapur Municipality Office, Rajapur",Rajapur ward No 5 pahadipur dekhi ward no 10 lalpur Samma Blacktop Construction works.,45540956.91,Works,NCB,In-Progress,05/RM/NCB/W/2078/079
283,Badhaiyatal Rural Municipality,Construction of Asphalt Road from Simara To Futaha Road,43052684.75,Works,NCB,Completed,BTRM/NCB/WORKS/C/03/075/076
284,"Urban Development & Building Office Ghorahi, Dang","Tulsipur 9,6 and 5 Basti Integrated Infrastructure Construction work. (Beluwa Tharkudanda Road, Sitalpur Road, Dumrigaun road, Rapti Regional Hospital etc. Different Road, Link Road and Drain Construc",101770668.00,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/18-2078/79
285,"Urban Development and Building Office, Ilam",Yasok Bazar Road Drainage and Pavement Work,116471945.36,Works,NCB,Completed,UDBO/ILAM/W/NCB/07/076-077
286,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/EM-01/078/079,11196767.27,Works,NCB,Completed,EM-01/078/079
287,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/EM-02/078/079,11086430.00,Works,NCB,Completed,EM-02/078/079
288,Bijaynagar Rural Municipality,Premnagar Gaun Bitra Sadak Kalopatre tatha staronnati (Phase II),1386114.69,Works,Sealed Quotation,Completed,18/SQ/WORKS/BRM/2078-79
289,Bijaynagar Rural Municipality,Mahadaiya-Mainari Sadak Kalopatre (Phase II),3684480.70,Works,NCB,In-Progress,19/NCB/WORKS/BRM/2078-79
290,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/EM-03/078/079,11452329.65,Works,NCB,Completed,EM-03/078/079
291,Bijaynagar Rural Municipality,Ganeshpur-Dodhari- Khuruhuriya- Premnagar sadak kalopatre Phase (II),2898553.95,Works,NCB,In-Progress,20/NCB/WORKS/BRM/2078-79
292,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/EM-04/078/079,10295317.00,Goods,NCB,Completed,EM-04/078/079
293,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Upgrading of Roadway with Blacktop Surface and Structural Works,283074784.04,Works,NCB,In-Progress,DKDRP/337011694/078-079/10
294,Bijaynagar Rural Municipality,Construction of Municipality Level  Health and Disaster Shelter Building Phase (II).,2558917.49,Works,NCB,Completed,21/NCB/WORKS/BRM/2078-79
295,Bijaynagar Rural Municipality,Purchase and Supply of Ladies Bicycle,3601797.03,Goods,NCB,Completed,21/NCB/GOODS/BRM/2078-79
296,Dumre-Besishahar-Chame Road Project,"Construction of Khanche Bhachok River Bridge, lamjung [RCC 1*20 m ]",39158325.85,Works,NCB,In-Progress,DBCRP/33701121/077/78-07
297,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Upgrading of Roadway with Blacktop Surface and Structural Works,142018481.19,Works,NCB,In-Progress,DKDRP/337011694/078-079/09
298,"Patan Municipality, Patan, Baitadi",Conatruction of 15 Bed Basic Hospital Building,162505476.40,Works,NCB,In-Progress,NCB/PTNMUN/W-09/2077/78
299,Badhaiyatal Rural Municipality,"Construction of Basic Health Service Building, Ward no-05",2602694.18,Works,NCB,In-Progress,BTRM/NCB/WORKS/C/14/075/076
300,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Mateli River Bridge,32615546.01,Works,NCB,In-Progress,2078/079-01
301,"Patan Municipality, Patan, Baitadi",Construction of Sigas Ma.Bi School Building Gaurishankhar Pokhari  Ptn Mun  Ward No.03,4409207.10,Works,NCB,In-Progress,NCB/PTNMUN/W-06/2077/078 
302,Dumre-Besishahar-Chame Road Project,"Construction of Single Lane Bailey Bridge in Puma Khola after dismanteling and Transportation of the Bridge in Bhalam Khola , Lamjung",2421154.50,Works,NCB,Completed,DBCRP/33701121/077/78-005
303,"Patan Municipality, Patan, Baitadi",CONSTRUCTION OF CIVIL WORK OF SURNAYA JOLABAJ TOLI lIFT PROJECT Stage 1,3255490.30,Works,NCB,In-Progress,NCB/PTNMUN/W-07/2077/78
304,Badhaiyatal Rural Municipality,"Construction of Basic Health Service Building, Ward no-05",2654534.37,Works,NCB,In-Progress,BTRM/NCB/WORKS/C/15/075/076
305,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Upgrading of Roadway with Blacktop Surface and Structural Works,160767229.54,Works,NCB,In-Progress,DKDRP/337011694/077/78-02
306,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Chaukigada River Bridge,47033028.66,Works,NCB,In-Progress,2078/079-02
307,Dumre-Besishahar-Chame Road Project,"Upgrading of Besishahar Chame Road [Ch: 0+100- Ch:7+800], Lamjung",253213196.46,Works,NCB,In-Progress,DBCRP/33701121/077/78-006
308,Bharatpur Metropolitian City Office,Blacktopped Road Maintenance and Reconstruction Works at Different Ward of Bharatpur Metropolitan City-Package 1,18266129.91,Works,NCB,Completed,METRO/BHR/W/NCB/27/077/078
309,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Chepte River Bridge,29716042.52,Works,NCB,In-Progress,2078/079-03
310,Bharatpur Metropolitian City Office,Blacktopped Road Construction Work from Khemlal Danda to Beluwachowk and remaining part of Belghatta at Bharatpur-17,8143520.73,Works,NCB,In-Progress,METRO/BHR/W/NCB/32/077/078
311,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Upgrading of Roadway with Blacktop Surface and Structural Works,185190499.06,Works,NCB,In-Progress,DKDRP/337011694/077/78-01
312,"Patan Municipality, Patan, Baitadi","Supplying and fittinf of Electtromechanical Part Of Surnaya JOlabaj Toli Lift Irrigation Project Ward No.04,Baiatdi",5855370.00,Goods,NCB,In-Progress,NBC/PTNMUN/GP-02/2077/078
313,Bharatpur Metropolitian City Office,Construction of PCC With Meshjali at Ward No.3,1836649.46,Works,NCB,In-Progress,Metro/Bhr/W/NCB/58/076/077
314,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Meghauli Gate to Falahari Acharya's Home at Boarder of BMC 27 and 28.,3108712.84,Works,NCB,In-Progress,METRO/BHR/W/NCB/37/077/078
315,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Munal Chowk to Boarder of ward 6 at Bharatpur 5.,17487743.42,Works,NCB,In-Progress,METRO/BHR/W/NCB/39/077/078
316,Dumre-Besishahar-Chame Road Project,"Upgrading of Dumre-Besishahar  Road [Ch: 0+220- Ch:8+300], Tanahun",380986492.03,Works,NCB,In-Progress,DBCRP/33701121/077/78-01
317,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Kala River Lamagada Bridge,40502173.50,Works,NCB,In-Progress,2078/079-04
318,Bharatpur Metropolitian City Office,Blacktopped Road Construction Work  At Ward No. 13,30721894.72,Works,NCB,In-Progress,Metro/Bhr/W/NCB/63/076/077
319,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,"Track opening (Earthwork, tree cutting), Retaining structures, drainage structures, sub-base Works etc.",235704272.10,Works,NCB,In-Progress,KBGDRP/3373344/073-074/01
320,Bharatpur Metropolitian City Office,"Blacktopped Road Construction From south of Khageri Nahar to Khanal chowk at Bharatpur-15,Fulbari.",8460526.74,Works,NCB,In-Progress,METRO/BHR/W/NCB/54/077/078
321,Badhaiyatal Rural Municipality,Construction of asphalt road between pachasa kanthapur,37955346.67,Works,NCB,Completed,BTRM/NCB/WORKS/C/06/075/076
322,Bharatpur Metropolitian City Office,"Construction of Public Toilet at Different ward (1, 12, 10) of BMC.",7268206.78,Works,NCB,Completed,Metro/Bhr/W/NCB/88/076/077
323,"Patan Municipality, Patan, Baitadi","Conatruction of Gujar Ma.Bi School Building Ward No.03,Baitadi",4269136.00,Works,NCB,In-Progress,02/S-02/PMO/NCB/2077/78
324,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,"Track opening (Earthwork, tree cutting), Retaining structures, drainage structures, sub-base Works etc.",61347703.39,Works,NCB,In-Progress,KBGDRP/3373344/073-074/03
325,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,"Track opening (Earthwork, tree cutting), Retaining structures, drainage structures, sub-base Works etc.",90943229.76,Works,NCB,In-Progress,DRODOT/3373344/072-073/055
326,Bharatpur Metropolitian City Office,Blacktopped Road Construction From Sajhapur Namuna Chowk Upto Khem Dhakal House at Bharatpur-28.,6522625.63,Works,NCB,In-Progress,METRO/BHR/W/NCB/56/077/078
327,"Badimalika Municipality, Bajura",Saraswati School Bulding Construction A,2675298.31,Works,NCB,In-Progress,BMO/WORK/BAJURA/NCB/01/078-79
328,Bharatpur Metropolitian City Office,Blacktopped Road Construction From West of Ward Office Chowk Up to Shanta Bagaicha Chowk at Bharatpur-15,7222329.34,Works,NCB,In-Progress,METRO/BHR/W/NCB/55/077/078
329,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Nakuradi River Bridge,38275308.43,Works,NCB,In-Progress,2078/079-05
330,Bharatpur Metropolitian City Office,Blacktopped Road Construction From Ward Office through Amar Ma. Vi. Upto Ram Mandir at Bharatpur-22.,15148795.08,Works,NCB,In-Progress,METRO/BHR/W/NCB/57/077/078
331,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF 15 BED PRIMARY HOSPITAL,101749818.40,Works,NCB,In-Progress,GGM/WOKRKS/NCB/24/2077/078
332,Bharatpur Metropolitian City Office,Blacktopped Road Construction from south of Atithi party palace chowk up to Bishnu Chowk at Bharatpur 15,2591959.05,Works,NCB,In-Progress,METRO/BHR/W/NCB/59/077/078
333,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Black Top Surface (premix carpet),16050633.00,Works,NCB,In-Progress,KBGDRP/3373344/074-075/02
334,"Gauriganga Municipality, Chaumala Kailali",ANDAIYA MUL SADAK KALOPATRE,2462132.76,Works,NCB,In-Progress,GGM/WOKRKS/NCB/15/2077/078
335,Bharatpur Metropolitian City Office,Blacktopped Road Construction From Bhawana Chowk Towards North 6 no. Sakha on Boarder of Bharatpur Ward 14 and 15.,7819613.95,Works,NCB,In-Progress,METRO/BHR/W/NCB/60/077/078
336,Bharatpur Metropolitian City Office,"Blacktopped Road Construction of Shree Krishna Marga,Naya Kiran Tole at Bharatpur-11.",1796240.09,Works,NCB,In-Progress,METRO/BHR/W/NCB/61/077/078
337,"Patan Municipality, Patan, Baitadi","Construction of Udayadeb Ma.Bi. School Building Patan Municipality Ward No.07,Baitadi",7303936.01,Works,NCB,In-Progress,NCB/PTNMUN/W-02/2078/79 
338,Bharatpur Metropolitian City Office,"Procurement of Murti for Dhawaling Bouddha Gumba, BMC-17",644100.00,Goods,Sealed Quotation,Completed,16-BMC/2078/079/G/SQ/32-RE
339,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Salkot River Bridge,39718134.41,Works,NCB,In-Progress,2078/079-06
340,Dumre-Besishahar-Chame Road Project,Rehabilitation and Maintenance works on Dumre Besishahar Road ( 24+000-42+800),43679204.94,Works,NCB,Completed,RDDML/33701138/076/77-044
341,Bharatpur Metropolitian City Office,Blacktopped with Drain Construction in Town School Road at Bharatpur ward no. 22.,6491006.14,Works,NCB,Completed,METRO/BHR/W/NCB/64/077/078
342,Bharatpur Metropolitian City Office,"Procurement of Murti for Gyanjyoti Bouddha Gumba, BMC-8",1135650.00,Goods,Sealed Quotation,In-Progress,42-BMC/2078/079/G/SQ/128-RE
343,"Patan Municipality, Patan, Baitadi","Construction of Udayadev Ma.Bi. School Building Part II ,Kimtoli Baitadi",2652588.38,Works,NCB,In-Progress,NCB/PTNMUN/W-08/2078/79
344,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,upgrading of road with cross drainage and structural works,11633779.41,Works,NCB,In-Progress,DKDRP/337011694/077-78-03
345,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Hatkholi River Bridge,51978145.40,Works,NCB,In-Progress,2078/079-07
346,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF SANKARPUR UTTAR DAKSHIN SADAK KALOPATRE,1477247.78,Works,NCB,In-Progress,GGM/WOKRKS/NCB/21/2077/078
347,"Patan Municipality, Patan, Baitadi","Construction of Basic Health Centre Building (Type 2)  Ward No.07,Kimtoli",1595973.73,Works,NCB,In-Progress,NCB/PTNMUN/W-03/2078/79 
348,Bharatpur Metropolitian City Office,Supply and Delivery of Tablets at BMC,2175250.00,Goods,NCB,Completed,RE-17-BMC/2078/079/G/NCB/37
349,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,upgrading of road with cross drainage and structural works,10324885.31,Works,NCB,In-Progress,DKDRP/337011694/077-78-04
350,Dumre-Besishahar-Chame Road Project,"Construction of RCC Slab Culvert and River Trainning Works in Belauti Bisauni Khola along Besishahar Chame Road , Lamjung",3117850.24,Works,NCB,Completed,DBCRP/33701121/077/78-002
351,"Gauriganga Municipality, Chaumala Kailali",CONTRUCTION OF DODA PUL DEKHI MASURIYA GAU,1230649.07,Works,NCB,In-Progress,GGM/WOKRKS/NCB/20/2077/078
352,"Patan Municipality, Patan, Baitadi","Upgrading Rehabitation and Construction of Dehimandu Basantpur Patan Road Ward No.05,Basantpur,Baitadi",5131846.13,Works,NCB,In-Progress,NCB/PTNMUN/W-04/2078/79 
353,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,Construction of Gwasi River Bridge,45061640.26,Works,NCB,In-Progress,2078/079-08
354,"Patan Municipality, Patan, Baitadi","Upgrading Rehabitation and Construction Of Dehimandu Basantpur  Patan Road Part II,Ward No.05,Basantpur,Baitadi",5130522.29,Works,NCB,In-Progress,NCB/PTNMUN/W-07/2078/79
355,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF MALIKA MABI KO BHAWAN MAA TALA THAP NIRMAN KARYA,3608754.25,Works,NCB,In-Progress,GGM/WOKRKS/NCB/22/2078/79
356,Bharatpur Metropolitian City Office,Widening and Upgrading of Road Section Gitanagar to Barkobot Chowk at Bharatpur 6 and 14.,33592381.46,Works,NCB,In-Progress,19-BMC/2078/079/W/NCB/48
357,Bharatpur Metropolitian City Office,Mosaic Tile Interlocking Paving Work At BMC 11,648938.89,Works,Sealed Quotation,Completed,RE-23-BMC/2078/079/W/SQ/58
358,"Patan Municipality, Patan, Baitadi","Construction of Ward Office BUilding Ward No.05,Basantpur ,Baitadi",7125217.34,Works,NCB,In-Progress,NCB/PTNMUN/W-01/2078/79
359,Bharatpur Metropolitian City Office,Construction Of Bhu. Pu. Sainik compound Wall and Gate,946866.72,Works,Sealed Quotation,Completed,23-BMC/2078/079/W/SQ/63
360,Badhaiyatal Rural Municipality,Construction Of asphalt road between Bholagoudi to danfe,77394048.46,Works,NCB,Completed,BTRM/NCB/WORKS/C/04/075/076
361,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,upgrading of road with cross drainage and structural works,11001134.91,Works,NCB,In-Progress,DKDRP/337011694/077-78-05
362,Dhangadhi Khutiya B.P Nagar Gadsera Dipayal Road Project,upgrading of road with cross drainage and structural works,12312586.97,Works,NCB,In-Progress,DKDRP/337011694/077-78-06
363,"Rajapur Municipality Office, Rajapur",Ward No 4 Renisha Boarding School dekhi Shantipur chowk hudai Bhimmapur Barpipal Samma Road Construction works,9413100.68,Works,NCB,In-Progress,06/RM/NCB/W/2078/079
364,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/EM-02/077/078,11285611.00,Works,NCB,In-Progress,EM-02/077/078
365,"Rajapur Municipality Office, Rajapur",Ward no 2 ko chainpur dekhi Geruwa Rajapur simana Samma Black road construction works,9299696.70,Works,NCB,In-Progress,07/RM/NCB/W/2078/079
366,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Bharatpur ward no. 20,5323114.49,Works,NCB,In-Progress,METRO/BHR/W/NCB/65/077/078
367,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF SCHOOL BUILDING OF JANAJRITI AAVI,3133197.24,Works,NCB,In-Progress,GGM/WORKS/NCB/23/2078/79
368,Badhaiyatal Rural Municipality,Construction of Asphalt Road between Bholagoudi to Badhaityatal,31161430.30,Works,NCB,Completed,BTRM/NCB/WORKS/C/01/075/076
369,"Rajapur Municipality Office, Rajapur",Ward No 2 Jotpur simana dekhi ward No 5 Pahadipur hudai ward No 8 khalla tole hulaki sadak Samma Blacktop road construction works.,9757001.47,Works,NCB,In-Progress,08/RM/NCB/W/2078/079
370,Bharatpur Metropolitian City Office,Blacktopped Road Construction From East of Guman Singh B.K Chowk upto boarder of ward 5 at Bharatpur 15.,8173632.81,Works,NCB,In-Progress,METRO/BHR/W/NCB/67/077/078
371,Bharatpur Metropolitian City Office,"Blacktopped Road Construction at Bharatpur Ward no. 6,14 and 21.",10564807.10,Works,NCB,In-Progress,METRO/BHR/W/NCB/68/077/078
372,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF SWASTHYA EKAI KO LAGI BIRTHING CENTRE,2081764.93,Works,NCB,In-Progress,GGM/WORKS/NCB/24/2078/79
373,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Bharatpur ward no. 6 and 5,11592660.71,Works,NCB,In-Progress,METRO/BHR/W/NCB/75/077/078
374,Bharatpur Metropolitian City Office,Culvert Construction works at Bharatpur Ward No. 27 and 28.,4746495.33,Works,NCB,Completed,METRO/BHR/W/NCB/ 81/077/078
375,Bharatpur Metropolitian City Office,Blacktopped Road Construction from South of Triveni Chowk Up to Canal at Ward No. 5,4594039.43,Works,NCB,In-Progress,METRO/BHR/W/NCB/83/077/078
376,Bharatpur Metropolitian City Office,"Construction Of Additional Storey On Existing Ward Office Building , Ward No.6",2334339.07,Works,NCB,In-Progress,METRO/BHR/W/NCB/94/077/078
377,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRTP/KLB15/2072/73,87495165.88,Works,NCB,In-Progress,02/72/73
378,"Gauriganga Municipality, Chaumala Kailali",KHAPTAD BAHUMUKHI CAMPUS VAWAN NIRMAN,4848551.40,Works,NCB,In-Progress,GGM/WORKS/NCB/17/2078/79
379,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-7,4533676.33,Works,NCB,In-Progress,METRO/BHR/W/NCB/112/077/078
380,Dumre-Besishahar-Chame Road Project,Emergency works at Besishahar Cahme Road Manang Sector [Track Opening works] [Ch: 35+000-50+000],9217163.35,Works,NCB,Completed,DBCRP/33701121/078/79-01
381,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-12,4533676.33,Works,NCB,In-Progress,METRO/BHR/W/NCB/113/077/078
382,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-18,4533676.33,Works,NCB,In-Progress,METRO/BHR/W/NCB/114/077/078
383,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-20,4669798.51,Works,NCB,In-Progress,METRO/BHR/W/NCB/115/077/078
384,Dumre-Besishahar-Chame Road Project,Roadside Slope Disaster Management of Kharkhare Landslide at Ch 3+150 (Besisahar Chame Road),164839174.37,Works,NCB,In-Progress,DBCRP/33701121/078/79-14
385,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-24,4669798.51,Works,NCB,In-Progress,METRO/BHR/W/NCB/116/077/078
386,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-28,4669798.51,Works,NCB,In-Progress,METRO/BHR/W/NCB/117/077/078
387,"Gauriganga Municipality, Chaumala Kailali",CONSTRUCTION OF SAFE HOUSE GAURIGANGA 4 RAJIPUR,2657855.34,Works,NCB,In-Progress,GGM/WORKS/NCB/25/2078/79
388,Bharatpur Metropolitian City Office,Construction of Basic Health Care Center-Type 1 at BMC-13,4669798.51,Works,NCB,In-Progress,METRO/BHR/W/NCB/118/077/078
389,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Birendra Chowk to Mahendra Chowk, BMC 14",11556616.99,Works,NCB,In-Progress,METRO/BHR/W/NCB/119/077/078
390,Bharatpur Metropolitian City Office,Blacktopped road maintenance work- package 6,14818875.94,Works,NCB,In-Progress,METRO/BHR/W/NCB/127/077/078
391,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Pingdada Dadakharka Trail Bridge",17084915.22,Works,NCB,In-Progress,CTP-12/078/79
392,Bharatpur Metropolitian City Office,Construction of Blacktopped road and drain in Kachpache Chowk at ward no. 4,2375798.20,Works,NCB,In-Progress,METRO/BHR/W/NCB/131/077/078
393,"Gauriganga Municipality, Chaumala Kailali",AMAI KO GHAR DEKHI AITHA CHOWK SAMMA SADAK KALOPATRE,3248375.96,Works,NCB,In-Progress,GGM/WOKRKS/NCB/11/2078/79
394,"Gauriganga Municipality, Chaumala Kailali",MANGALPUR CHOWK DEKHI CHANAURA SADAK KALOPATRE,1308244.16,Works,NCB,In-Progress,GGM/WOKRKS/NCB/12/2078/79
395,"Rajapur Municipality Office, Rajapur",Ward No 1 ward office jane sadak Black top,11162368.36,Works,NCB,In-Progress,13/RM/NCB/W/2078/079
396,Bharatpur Metropolitian City Office,Road Construction Towards Concrete Factory Near Jagannath Chowk at Bharatpur-4.,2276215.50,Works,NCB,In-Progress,METRO/BHR/W/NCB/139/077/078
397,Bharatpur Metropolitian City Office,Road Construction towards west of Chaurali Chowk at Bharatpur-8,1999306.34,Works,NCB,In-Progress,METRO/BHR/W/NCB/140/077/078
398,"Rajapur Municipality Office, Rajapur",Ward No 3 ward office jane sadak Black top,7841899.19,Works,NCB,In-Progress,14/RM/NCB/W/2078/079
399,Bharatpur Metropolitian City Office,Blacktopped Road Construction of Section Shantichowk-Chhaari Chowk and Bhetghat Chowk-Suryadya chowk at Bharatpur Ward no. 16,2989230.81,Works,NCB,In-Progress,METRO/BHR/W/NCB/148/077/078
400,Dumre-Besishahar-Chame Road Project,Roadway Upgrading works along  Besishahar Chame Road in Manang District.,239992790.59,Works,NCB,Completed,DRODML/337154-4/073/74-178
401,Bharatpur Metropolitian City Office,Blacktopped Road Construction on Pipal chowk-Rahar Chowk Road Section at Bharatpur-8,1844042.24,Works,NCB,In-Progress,METRO/BHR/W/NCB/141/077/078
402,"Gauriganga Municipality, Chaumala Kailali",JHIL KO BICH TOL BAATA PASCHIM JANE SADAK KALOPATRE,1160415.07,Works,NCB,In-Progress,GGM/WOKRKS/NCB/03/2078/79
403,"Rajapur Municipality Office, Rajapur",Dhobinpur dekhi phattepur hudai Puraina samma RCC wall and road upgrading works,11212030.21,Works,NCB,In-Progress,15/RM/NCB/W/2078/079
404,Kamala River Training Project,KRTP/Dhanusha/Kiratpur/RB/RTW-01/2078-079,51308127.71,Works,NCB,In-Progress,KRTP/Dhanusha/Kiratpur/RB/RTW-01/2078-079
405,Kamala River Training Project,KRTP/Dhanusha/Paterwa/RB/RTW-02/2078-079,31320787.30,Works,NCB,In-Progress,KRTP/Dhanusha/Paterwa/RB/RTW-02/2078-079
406,Mahakali Irrigation Project-III Stage,Command Area Protection Works of Jogbuda River,119285548.57,Works,NCB,In-Progress,MIPIII/CAP/NCB-07/2078-79
407,Mahakali Irrigation Project-III Stage,Canal Slope (0+000 to 0+220) and Command area Protection Work along Gahatadi Stream,11922140.71,Works,NCB,In-Progress,MIPIII/TMC/NCB-09/2078-79 
408,"Gauriganga Municipality, Chaumala Kailali",KUCHAINI LAXMI CHOWK DEKHI GHAATGADDI HUDAI BETAINE SADAK KALOPATRE,1524701.93,Works,Sealed Quotation,In-Progress,GGM/WORKS/SQ/01/2078/79
409,Bharatpur Metropolitian City Office,Road Maintenance work from Airport gate to Bypass road,6016120.00,Works,NCB,In-Progress,METRO/BHR/W/NCB/149/077/078
410,Bharatpur Metropolitian City Office,Procurement of Ayurvedic Medicines for Bharatpur Metropolitan City,4330700.00,Goods,NCB,Completed,37-BMC/2078/079/G/NCB/100
411,Bharatpur Metropolitian City Office,Construction of Nepal Scout Building in BMC-10,3287171.47,Works,NCB,Completed,METRO/BHR/W/NCB/151/077/078
412,Bharatpur Metropolitian City Office,"Procurement of Medicines, BMC",4973185.00,Goods,NCB,Completed,37-BMC/2078/079/G/NCB/101
